[200, 150, 3.0, 3.1]:: Return=0.054, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 0.9, 3.1]:: Return=-0.2809, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.0302, terminal=False
[200, 150, 1.9, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.11, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0437, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.118, terminal=False
[200, 150, 2.7, 3.1]:: Return=0.1855, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.2344, terminal=False
[200, 150, 1.2, 3.1]:: Return=1.5519, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.0119, terminal=True
[200, 150, 2.6, 3.1]:: Return=0.0847, terminal=False
[200, 150, 2.0, 3.1]:: Return=1.1219, terminal=False
[200, 150, 0.8, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.7, 3.1]:: Return=0.129, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.0541, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.8, 3.1]:: Return=0.6805, terminal=False
[200, 150, 2.0, 3.1]:: Return=-0.6647, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.0151, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.1376, terminal=False
[200, 150, 2.8, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.0021, terminal=False
[200, 150, 0.8, 3.1]:: Return=-0.4025, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.11, terminal=False
[200, 150, 1.2, 3.1]:: Return=0.3122, terminal=False
[200, 150, 1.2, 3.1]:: Return=-0.269, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.0094, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.1423, terminal=False
[200, 150, 2.9, 3.1]:: Return=0.1623, terminal=False
[200, 150, 1.2, 3.1]:: Return=1.1202, terminal=False
[200, 150, 1.8, 3.1]:: Return=-0.0403, terminal=True
[200, 150, 1.8, 3.1]:: Return=-0.1359, terminal=False
[200, 150, 2.7, 3.1]:: Return=0.2894, terminal=False
[200, 150, 1.3, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.0, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.4, 3.1]:: Return=0.1225, terminal=False
[200, 150, 0.7, 3.1]:: Return=0.1726, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.8273, terminal=False
[200, 150, 2.1, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 1.2, 3.1]:: Return=-0.189, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.7, 3.1]:: Return=-0.4025, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.3, 3.1]:: Return=-0.515, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.6, 3.1]:: Return=-0.118, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.2542, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0676, terminal=False
[200, 150, 0.6, 3.1]:: Return=0.1004, terminal=False
[200, 150, 2.2, 3.1]:: Return=-0.2344, terminal=False
[200, 150, 1.8, 3.1]:: Return=-0.0259, terminal=True
[200, 150, 1.9, 3.1]:: Return=-0.138, terminal=False
[200, 150, 1.1, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.6, 3.1]:: Return=1.1219, terminal=False
[200, 150, 2.9, 3.1]:: Return=1.0337, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.8, 3.1]:: Return=0.054, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.1376, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 1.1, 3.1]:: Return=-0.189, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.0302, terminal=False
[200, 150, 1.5, 3.1]:: Return=-0.3412, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0, terminal=False
[200, 150, 0.6, 3.1]:: Return=1.4819, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0437, terminal=False
[200, 150, 2.9, 3.1]:: Return=-0.118, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.0998, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.0715, terminal=False
[200, 150, 1.5, 3.1]:: Return=1.3708, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0676, terminal=False
[200, 150, 2.0, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 1.6, 3.1]:: Return=0.7997, terminal=False
[200, 150, 2.3, 3.1]:: Return=0.0047, terminal=True
[200, 150, 2.7, 3.1]:: Return=0.0847, terminal=False
[200, 150, 0.6, 3.1]:: Return=-0.3507, terminal=False
[200, 150, 1.3, 3.1]:: Return=-0.4024, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.3917, terminal=False
[200, 150, 1.4, 3.1]:: Return=1.1158, terminal=False
[200, 150, 2.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0541, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.0826, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.5941, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.5, 3.1]:: Return=1.0634, terminal=False
[200, 150, 0.9, 3.1]:: Return=0.113, terminal=False
[200, 150, 0.9, 3.1]:: Return=0.6571, terminal=False
[200, 150, 0.7, 3.1]:: Return=0.0315, terminal=False
[200, 150, 1.1, 3.1]:: Return=0.9141, terminal=False
[200, 150, 1.5, 3.1]:: Return=0.2262, terminal=False
[200, 150, 2.4, 3.1]:: Return=1.3016, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.0, terminal=False
[200, 150, 1.8, 3.1]:: Return=1.3714, terminal=False
[200, 150, 1.9, 3.1]:: Return=0.3717, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.8131, terminal=False
[200, 150, 2.4, 3.1]:: Return=-0.667, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0934, terminal=False
[200, 150, 2.6, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 0.9, 3.1]:: Return=-0.2809, terminal=False
[200, 150, 2.8, 3.1]:: Return=0.2328, terminal=False
[200, 150, 1.6, 3.1]:: Return=-0.3412, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.6082, terminal=False
[200, 150, 2.5, 3.1]:: Return=0.1493, terminal=False
[200, 150, 3.0, 3.1]:: Return=0.1623, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.1604, terminal=True
[200, 150, 0.7, 3.1]:: Return=0.47, terminal=False
[200, 150, 2.7, 3.1]:: Return=0.0847, terminal=False
[200, 150, 1.4, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.3, 3.1]:: Return=1.0337, terminal=False
[200, 150, 2.2, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.1, 3.1]:: Return=0.0541, terminal=False
[200, 150, 2.4, 3.1]:: Return=0.0, terminal=False
[200, 150, 3.0, 3.1]:: Return=-0.6155, terminal=False
[200, 150, 0.5, 3.1]:: Return=0.0129, terminal=False
[200, 150, 1.1, 3.1]:: Return=0.2391, terminal=False
[200, 150, 2.5, 3.1]:: Return=-0.0161, terminal=False
[200, 150, 2.3, 3.1]:: Return=-0.189, terminal=False
[200, 150, 1.3, 3.1]:: Return=0.0, terminal=False
[200, 150, 2.8, 3.1]:: Return=-0.1168, terminal=False
[200, 150, 2.4, 3.1]:: Return=-0.515, terminal=False
[200, 150, 2.0, 3.1]:: Return=0.0437, terminal=False
[200, 150, 1.2, 3.1]:: Return=1.1178, terminal=False
[200, 150, 0.9, 3.1]:: Return=-0.1912, terminal=False
[200, 150, 1.8, 3.1]:: Return=0.2542, terminal=False
[200, 150, 0.8, 3.1]:: Return=0.1962, terminal=False
[200, 150, 1.0, 3.1]:: Return=0.4977, terminal=False
[200, 150, 1.1, 3.1]:: Return=0.0676, terminal=False
