	2006~2008	2007~2009	2008~2010	2009~2011	2010~2012	2011~2013	2012~2014	2013~2015
2005~2007	0.0264	-0.0265	0.0000	-0.0012	-0.0147	0.0023	0.0036	0.0081
2006~2008	0.0592	-0.0034	0.0536	0.0310	-0.0054	0.0057	0.0135	0.0028
2007~2009		0.0280	0.0227	0.0198	-0.0082	0.0049	0.0057	0.0152
2008~2010			0.0630	0.0267	-0.0126	0.0089	0.0155	0.0111
2009~2011				0.0339	-0.0107	0.0058	0.0157	0.0124
2010~2012					0.0105	0.0001	0.0195	0.0114
2011~2013						0.0113	0.0133	0.0018
2012~2014							0.0342	0.0056
2013~2015								0.0280
