"","EW","TW","EZ","SZ"
"1",187.7221,126.1247,0.7230516,4.654715
"2",187.7221,126.1247,0.7230516,4.654715
"3",195.1971,126.1247,0.7230516,4.654715
"4",191.4596,126.1247,0.7230516,4.43549
"5",187.7221,126.1247,0.7230516,4.654715
"6",191.4596,129.0372,0.6564266,4.43549
"7",183.9846,126.1247,0.7230516,4.72779
"8",191.4596,126.1247,0.7896766,4.654715
"9",187.7221,126.1247,0.7230516,4.72779
"10",187.7221,126.1247,0.7230516,4.654715
"11",187.7221,126.1247,0.7230516,4.654715
"12",187.7221,126.1247,0.7230516,4.654715
