"","EW","TW","EZ","SZ"
"1",179,82,0.8,3.3
"2",179,82,0.8,3.4
"3",179,82,0.8,3.2
"4",179,82,0.8,3.5
"5",179,82,0.8,3.4
"6",179,82,0.8,3.4
"7",182,82,0.8,3.4
"8",182,82,0.8,4.3
"9",182,82,0.8,3.4
"10",179,83,0.8,3.2
"11",188,82,0.8,3.4
"12",183,82,0.8,3.4
"13",179,81,0.8,3.4
"14",179,84,0.8,3.4
"15",188,82,0.9,3.4
"16",188,82,0.8,3.2
"17",189,82,0.8,3.4
"18",189,84,0.8,3.5
"19",188,82,0.8,3.4
"20",179,82,0.8,3.4
"21",180,81,0.8,3.4
"22",182,82,0.9,3.4
"23",179,82,0.8,3.3
"24",188,82,0.8,3.2
"25",179,83,0.8,3.3
"26",179,82,0.8,3.3
"27",188,82,0.9,3.4
"28",182,82,0.8,3.4
"29",179,82,0.8,3.1
"30",179,82,0.8,3.5
