"","EW","TW","EZ","SZ"
"1",195.7502,149.9998,0.8405723,3.375831
"2",195.7502,149.9998,0.8405723,3.375831
"3",192.0127,149.9998,0.9071973,3.375831
"4",195.7502,147.0873,0.7739473,3.375831
"5",195.7502,83.41886,0.8405723,3.375831
"6",192.0127,149.9998,0.9071973,3.521981
"7",199.4877,149.9998,0.8405723,3.375831
"8",195.7502,147.0873,0.8405723,3.375831
"9",192.0127,122.81187,0.8405723,3.448906
"10",195.7502,149.9998,0.8405723,3.375831
"11",192.0127,149.9998,0.8405723,3.375831
"12",195.7502,149.9998,0.8405723,3.375831
