"","EW","TW","EZ","SZ"
"1",201.1357,82.73705,0.8050831,3.272391
"2",201.1357,82.73705,0.8050831,3.272391
"3",204.8732,82.73705,0.8050831,3.272391
"4",201.1357,82.73705,0.8050831,3.272391
"5",197.3982,88.56205,0.6718331,3.272391
"6",201.1357,82.73705,0.8717081,3.199316
"7",201.1357,82.73705,0.8050831,3.345466
"8",197.3982,79.82455,0.7384581,3.272391
"9",201.1357,82.73705,0.8050831,3.272391
"10",197.3982,82.73705,0.8717081,3.272391
"11",189.9232,82.73705,0.8050831,3.272391
"12",201.1357,82.73705,0.8050831,3.272391
