"","EW","TW","EZ","SZ"
"1",243.1574,121.3947,2.601053,4.542748
"2",243.1574,121.3947,2.601053,4.252816
"3",243.1574,121.3947,2.601053,4.469673
"4",243.1574,118.4822,2.601053,4.325891
"5",243.1574,121.3947,2.601053,4.398966
"6",246.8949,124.3072,2.601053,4.761973
"7",239.4199,121.3947,2.601053,4.542748
"8",243.1574,121.3947,2.601053,4.761973
"9",243.1574,121.3947,2.667678,4.688898
"10",246.8949,121.3947,2.601053,4.542748
"11",243.1574,109.7447,2.601053,4.252816
"12",243.1574,118.4822,2.601053,4.545116
