"","EW","TW","EZ","SZ"
"1",186.9377,149.77497,0.6985759,3.304319
"2",186.9377,149.77497,0.6985759,3.304319
"3",186.9377,149.77497,0.6985759,3.377394
"4",186.9377,149.77497,0.6985759,3.450469
"5",186.9377,149.77497,0.6985759,3.596619
"6",186.9377,149.77497,0.6985759,3.231244
"7",186.9377,149.77497,0.7652009,3.450469
"8",186.9377,149.77497,0.6985759,3.450469
"9",186.9377,74.98461,0.6319509,3.304319
"10",186.9377,149.77497,0.6985759,3.450469
"11",186.9377,149.77497,0.6985759,3.231244
"12",186.9377,149.77497,0.6985759,3.450469
