"","EW","TW","EZ","SZ"
"1",189.9656,134.5777,0.669921,4.933817
"2",189.9656,134.5777,0.669921,4.933817
"3",193.7031,134.5777,0.669921,4.933817
"4",189.9656,134.5777,0.669921,4.376653
"5",189.9656,134.5777,0.669921,4.933817
"6",189.9656,143.3152,0.669921,4.933817
"7",189.9656,131.6652,0.736546,4.933817
"8",189.9656,134.5777,0.669921,4.933817
"9",189.9656,140.4027,0.669921,4.933817
"10",193.7031,134.5777,0.669921,4.152909
"11",189.9656,134.5777,0.669921,4.933817
"12",186.2281,134.5777,0.603296,4.385791
