"","EW","TW","EZ","SZ"
"1",249,52,1,4.2
"2",249,52,1,4.2
"3",249,52,1,4.2
"4",249,52,1,4.5
"5",249,52,1,3.6
"6",249,52,1,4.2
"7",249,52,1,4.2
"8",249,52,1,4.2
"9",249,52,1,3.6
"10",249,52,1,3.3
"11",249,52,1,4.8
"12",249,52,1,4.2
"13",247,52,1,4.2
"14",249,51,1,4.2
"15",249,52,1,3.6
"16",249,51,1,3.3
"17",249,53,0.9,4.2
"18",249,53,1,4.2
"19",249,52,1,4.3
"20",249,52,1,4.8
"21",249,53,1,3.6
"22",170,52,1,4.2
"23",249,52,0.9,4.2
"24",234,51,0.9,3.6
"25",227,52,1,4.3
"26",249,52,1,4.5
"27",247,52,1,4.2
"28",232,52,1,3.6
"29",247,52,1,3.6
"30",218,51,1,4.2
"31",249,52,0.9,4.3
"32",249,126,1,4.2
"33",249,52,1,4.2
"34",205,52,1,4.5
"35",247,52,1,4.2
"36",249,51,1,4.2
"37",249,52,1,4.3
"38",249,52,1,4.2
"39",209,52,1,3.6
"40",249,52,1,3.6
