"","EW","TW","EZ","SZ"
"1",195.7086,144.0334,0.8182737,3.408793
"2",195.7086,144.0334,0.8182737,3.408793
"3",191.9711,146.9459,0.8182737,3.408793
"4",195.7086,141.1209,0.8182737,3.372384
"5",195.7086,135.2959,0.7516487,3.481868
"6",195.7086,144.0334,0.8182737,3.372384
"7",195.7086,144.0334,0.8848987,3.408793
"8",195.7086,144.0334,0.8182737,3.481868
"9",195.7086,141.1209,0.8182737,3.481868
"10",195.7086,144.0334,0.8182737,3.408793
"11",195.7086,138.2084,0.8182737,3.372384
"12",191.9711,144.0334,0.7516487,3.372384
