"","EW","TW","EZ","SZ"
"1",208.2404,109.7334,0.6210253,4.330915
"2",208.2404,109.7334,0.6210253,4.330915
"3",208.2404,109.7334,0.8374947,4.330915
"4",208.2404,103.9084,0.6210253,4.330915
"5",204.5029,109.7334,0.6210253,4.330915
"6",204.5029,109.7334,0.6210253,3.892465
"7",208.2404,109.7334,0.6876503,4.40399
"8",208.2404,109.7334,0.6210253,4.40399
"9",208.2404,138.8584,0.6210253,3.892465
"10",208.2404,109.7334,0.6210253,4.330915
"11",208.2404,103.9084,0.6210253,4.330915
"12",208.2404,138.8584,0.6210253,4.25784
