"","EW","TW","EZ","SZ","NA"
"1",208,81,1.5,4,0.0621
"2",208,81,1.5,3.9,0.0621
"3",208,81,1.5,4,0.0621
"4",208,81,1.5,3.9,0.0621
"5",208,81,1.5,3.9,0.0621
"6",208,81,1.5,4,0.0621
"7",208,81,1.5,3.9,0.0621
"8",208,81,1.5,3.9,0.0621
"9",208,81,1.5,3.9,0.0621
"10",208,82,1.5,3.9,0.0617
"11",208,82,1.5,4,0.0617
"12",209,81,1.5,4,0.0621
"13",208,81,1.5,4,0.0621
"14",208,82,1.5,3.9,0.0617
"15",208,79,1.5,4,0.0619
"16",209,79,1.5,4,0.0619
"17",208,81,1.5,3.9,0.0621
"18",208,78,1.5,3.9,0.061
"19",208,81,1.5,4,0.0621
"20",208,84,1.5,4,0.0594
"21",208,82,1.5,3.9,0.0617
"22",208,81,1.5,4,0.0621
"23",209,81,1.5,4,0.0621
"24",208,81,1.5,3.9,0.0621
"25",209,81,1.6,4,0.0617
"26",208,81,1.5,4,0.0621
"27",208,81,1.5,3.9,0.0621
"28",206,81,1.5,3.9,0.0608
"29",208,81,1.5,4,0.0621
"30",209,81,1.5,3.9,0.0621
