"","EW","TW","EZ","SZ"
"1",184.862,115.6709,0.7216098,3.846931
"2",184.862,115.6709,0.7216098,3.846931
"3",184.862,115.6709,0.7216098,3.846931
"4",184.862,115.6709,0.7216098,3.700781
"5",188.5995,118.5834,0.7882348,3.846931
"6",184.862,109.8459,0.7216098,3.846931
"7",181.1245,115.6709,0.7882348,3.846931
"8",184.862,115.6709,0.7216098,3.773856
"9",184.862,118.5834,0.7216098,3.846931
"10",184.862,109.8459,0.7216098,3.773856
"11",184.862,115.6709,0.7216098,3.920006
"12",184.862,115.6709,0.7216098,3.846931
