"","EW","TW","EZ","SZ"
"1",188.2774,137.9387,0.6751581,3.337056
"2",188.2774,137.9387,0.6751581,3.337056
"3",184.5399,137.9387,0.6751581,3.337056
"4",188.2774,137.9387,0.8084081,3.190906
"5",188.2774,137.9387,0.6751581,3.337056
"6",188.2774,137.9387,0.8084081,3.337056
"7",188.2774,137.9387,0.6085331,3.337056
"8",188.2774,128.9634,0.8084081,3.263981
"9",188.2774,137.9387,0.6751581,3.337056
"10",188.2774,126.0509,0.8084081,3.337056
"11",188.2774,140.8512,0.7417831,3.337056
"12",188.2774,140.8512,0.6751581,3.337056
