"","EW","TW","EZ","SZ"
"1",242.1674,97.64156,2.489616,3.415328
"2",242.1674,97.64156,2.489616,3.415328
"3",242.1674,97.64156,2.489616,3.415328
"4",245.9049,97.64156,2.422991,3.415328
"5",245.9049,83.07906,2.489616,3.269178
"6",245.9049,97.64156,2.622866,3.561478
"7",242.1674,97.64156,2.489616,3.415328
"8",242.1674,97.64156,2.489616,3.488403
"9",245.9049,85.99156,2.489616,3.269178
"10",242.1674,83.07906,2.489616,3.269178
"11",245.9049,91.81656,2.489616,3.415328
"12",242.1674,94.72906,2.489616,3.415328
