"","EW","TW","EZ","SZ"
"1",192.6667,141.4396,0.8776172,3.302867
"2",192.6667,141.4396,0.8776172,3.375986
"3",192.6667,141.4396,0.8776172,3.302867
"4",192.6667,141.4396,0.8776172,3.375986
"5",185.1917,141.4396,0.9442422,3.375986
"6",188.9292,141.4396,0.8776172,3.229792
"7",192.6667,138.5271,0.8776172,3.302911
"8",188.9292,141.4396,0.8776172,3.229836
"9",192.6667,141.4396,0.8776172,3.229792
"10",192.6667,144.3521,0.8776172,3.375986
"11",192.6667,135.6146,0.8776172,3.229792
"12",185.1917,141.4396,0.8776172,3.595167
