"","EW","TW","EZ","SZ","NA"
"1",151,133,0.8,4,0.0624
"2",151,133,0.8,3.3,0.0624
"3",151,60,0.8,4.6,0.0624
"4",151,133,0.8,4,0.0624
"5",151,144,0.8,3.7,0.0624
"6",151,144,0.8,3.6,0.0624
"7",151,92,0.8,3.5,0.0624
"8",151,133,0.8,4.5,0.0624
"9",151,60,0.8,4.6,0.0624
"10",151,133,0.8,4,0.0624
"11",151,143,0.8,4.6,0.0624
"12",151,131,0.8,3.3,0.0624
"13",155,133,0.8,4.6,0.0591
"14",152,93,0.8,4.1,0.0616
"15",152,92,0.8,3.5,0.0616
"16",151,92,0.8,3.6,0.0624
"17",152,60,0.8,4.6,0.0616
"18",152,133,0.8,4.5,0.0616
"19",151,134,0.8,4,0.0624
"20",151,144,0.8,3.3,0.0624
"21",151,144,0.8,3.6,0.0624
"22",151,144,0.8,3.5,0.0624
"23",151,67,0.8,3.3,0.0624
"24",151,133,0.8,3.3,0.0624
"25",151,61,0.8,3.3,0.0624
"26",150,132,0.8,3.9,0.0597
"27",150,133,0.8,4,0.0597
"28",151,133,0.8,3.9,0.0624
"29",150,144,0.8,4.1,0.0597
"30",151,131,0.8,4.6,0.0624
"31",151,133,0.8,3.7,0.0624
"32",151,143,0.8,3.3,0.0624
"33",151,93,0.8,4,0.0624
"34",152,143,0.8,3.6,0.0616
"35",150,132,0.8,3.6,0.0597
"36",152,131,0.8,3.6,0.0616
"37",150,144,0.8,4.6,0.0597
"38",150,143,0.8,4.6,0.0597
"39",150,133,0.8,4,0.0597
"40",150,133,0.8,4,0.0597
