"","EW","TW","EZ","SZ"
"1",174.7755,84.50048,0.5091475,3.805454
"2",174.7755,84.50048,0.6423975,3.805454
"3",174.7755,84.50048,0.6423975,4.639304
"4",174.7755,84.50048,0.6423975,4.785454
"5",178.513,84.50048,0.6423975,3.805454
"6",174.7755,87.41298,0.6423975,4.858529
"7",174.7755,84.50048,0.6423975,3.732379
"8",174.7755,84.50048,0.6423975,4.639304
"9",174.7755,84.50048,0.6423975,4.858529
"10",174.7755,84.50048,0.5091475,4.858529
"11",171.038,84.50048,0.6423975,4.858529
"12",171.038,84.50048,0.6423975,4.785454
