"","EW","TW","EZ","SZ"
"1",236,52,0.9,3.3
"2",236,52,0.9,3.3
"3",236,52,0.9,3.3
"4",236,52,0.9,3.3
"5",236,52,0.9,4.2
"6",236,52,0.9,3.3
"7",236,52,0.9,3.3
"8",236,52,0.9,3.3
"9",236,52,0.9,3.3
"10",236,52,0.9,3.3
"11",236,53,0.9,3.2
"12",236,52,0.9,4.2
"13",236,52,0.9,3.2
"14",236,52,0.9,3.3
"15",237,52,0.9,3.3
"16",237,52,0.9,3.3
"17",236,52,0.9,3.3
"18",236,52,0.9,3.3
"19",236,52,0.9,3.3
"20",236,52,0.9,3.3
"21",236,51,0.9,3.3
"22",236,52,0.9,3.3
"23",236,52,0.9,3.3
"24",236,52,0.9,3.3
"25",236,52,0.9,3.3
"26",236,53,0.9,3.3
"27",236,52,0.9,3.3
"28",236,51,0.9,3.2
"29",236,53,0.9,4.2
"30",236,52,0.9,3.3
"31",237,52,0.9,3.3
"32",234,52,0.9,3.2
"33",236,52,0.9,3.3
"34",237,52,0.9,3.3
"35",236,53,0.9,3.3
"36",236,52,0.9,3.3
"37",234,52,0.9,3.3
"38",236,53,0.9,4.3
"39",236,52,0.9,3.3
"40",236,52,0.9,4.1
"41",236,134,0.9,4.3
"42",236,52,0.9,3.3
"43",236,52,0.9,3.2
"44",237,52,0.9,3.3
"45",236,52,0.9,3.2
"46",236,52,0.9,3.3
"47",236,52,0.9,3.3
"48",236,52,0.9,3.4
"49",237,53,0.9,3.3
"50",237,52,0.9,3.3
