"","EW","TW","EZ","SZ"
"1",177.2613,140.9673,0.9078574,3.739874
"2",177.2613,140.9673,0.9078574,3.739874
"3",177.2613,138.0548,0.9078574,3.739874
"4",173.5238,140.9673,0.9078574,3.739874
"5",173.5238,140.9673,0.9078574,3.739874
"6",173.5238,140.9673,0.9078574,3.739874
"7",180.9988,140.9673,0.9078574,3.666799
"8",177.2613,140.9673,0.9744824,3.739874
"9",177.2613,140.9673,0.9078574,3.739874
"10",180.9988,143.8798,0.9078574,3.739874
"11",177.2613,140.9673,0.9078574,3.739874
"12",177.2613,140.9673,0.9744824,3.739874
