"","EW","TW","EZ","SZ"
"1",205.4081,50.06585,0.7812288,3.474150
"2",205.4081,50.06585,0.9144788,3.254925
"3",201.6706,112.38833,0.9144788,3.47415
"4",205.4081,50.06585,0.9811038,3.254925
"5",209.1456,50.06585,0.9144788,3.254925
"6",205.4081,50.06585,0.9811038,3.254925
"7",209.1456,135.4076,0.7812288,3.47415
"8",205.4081,50.06585,0.9811038,3.254925
"9",205.4081,85.34269,0.9144788,3.254925
"10",205.4081,50.06585,0.7812288,3.474150
"11",205.4081,52.97835,0.7812288,3.474150
"12",205.4081,50.06585,0.9144788,3.254925
