"","EW","TW","EZ","SZ"
"1",187.5282,82.64729,0.7816881,3.280205
"2",187.5282,82.64729,0.7816881,3.280205
"3",187.5282,85.55979,0.7816881,3.280205
"4",187.5282,82.64729,0.7816881,3.280205
"5",187.5282,82.64729,0.7816881,3.280205
"6",187.5282,85.55979,0.7816881,3.280205
"7",183.7907,82.64729,0.7816881,3.280205
"8",187.5282,82.64729,0.7150631,3.280205
"9",187.5282,82.64729,0.7816881,3.280205
"10",187.5282,82.64729,0.7816881,3.280205
"11",187.5282,82.64729,0.7816881,3.280205
"12",187.5282,65.17229,0.7816881,3.35328
