"","EW","TW","EZ","SZ"
"1",187.0636,147.1767,0.769708,3.252033
"2",187.0636,147.1767,0.769708,3.252033
"3",183.3261,138.4392,0.769708,3.252033
"4",183.3261,113.1663,0.703083,3.252033
"5",183.3261,138.4392,0.769708,3.252033
"6",183.3261,147.1767,0.703083,3.252033
"7",187.0636,147.1767,0.769708,3.252033
"8",187.0636,144.2642,0.769708,3.252033
"9",187.0636,138.4392,0.836333,3.252033
"10",187.0636,135.5267,0.769708,3.252033
"11",187.0636,144.2642,0.769708,3.53969
"12",183.3261,138.4392,0.769708,3.252033
