"","EW","TW","EZ","SZ"
"1",201.8671,81.11518,0.6227891,3.415244
"2",201.8671,57.81518,0.6227891,3.415244
"3",201.8671,63.64018,0.6227891,3.415244
"4",201.8671,81.11518,0.6227891,3.415244
"5",201.8671,60.72768,0.6227891,3.415244
"6",201.8671,81.11518,0.6227891,3.488319
"7",201.8671,63.64018,0.6227891,3.415244
"8",201.8671,81.11518,0.6227891,3.342169
"9",198.1296,57.81518,0.6227891,3.415244
"10",194.3921,60.72768,0.6227891,3.415244
"11",198.1296,63.64018,0.6227891,3.415244
"12",201.8671,81.11518,0.6227891,3.415244
