"","EW","TW","EZ","SZ"
"1",188.7031,83.75356,0.7688531,3.301034
"2",188.7031,83.75356,0.7688531,3.301034
"3",188.7031,83.75356,0.7688531,3.520259
"4",188.7031,83.75356,0.7688531,3.301034
"5",184.9656,83.75356,0.7688531,3.301034
"6",184.9656,83.75356,0.7688531,3.301034
"7",188.7031,83.75356,0.7688531,3.301034
"8",181.2281,83.75356,0.7688531,3.301034
"9",188.7031,80.84106,0.7688531,3.374109
"10",184.9656,83.75356,0.7688531,3.154884
"11",188.7031,83.75356,0.7688531,3.301034
"12",188.7031,83.75356,0.7688531,3.154884
