"","EW","TW","EZ","SZ"
"1",212,66,0.9,4.2
"2",212,66,0.9,4.2
"3",212,66,0.9,4.2
"4",212,66,0.9,4.9
"5",212,66,0.9,4.7
"6",212,66,0.9,4.2
"7",210,68,0.9,4.3
"8",212,66,0.8,4.9
"9",214,68,0.9,4.2
"10",210,66,0.9,4.1
"11",212,65,0.9,4.9
"12",210,66,0.9,4.2
"13",212,68,0.9,4.9
"14",212,65,0.9,4.9
"15",212,66,0.9,4.7
"16",212,66,0.9,4.7
"17",212,66,0.9,4.7
"18",214,66,0.9,4.2
"19",212,66,0.9,4.7
"20",212,66,0.9,4.1
"21",212,66,0.9,4.9
"22",214,66,0.9,4.1
"23",212,66,0.9,4.1
"24",210,66,0.8,4.9
"25",212,66,0.9,4.1
"26",212,66,0.9,4.2
"27",212,66,0.9,4.3
"28",212,66,0.9,4.1
"29",212,66,0.9,4.7
"30",210,66,0.8,4.2
