"","EW","TW","EZ","SZ"
"1",182.9757,103.68178,0.7290774,4.647913
"2",190.4507,103.68178,0.7290774,4.647913
"3",190.4507,106.59428,0.7290774,4.647913
"4",186.7132,100.76928,0.7957024,3.665197
"5",190.4507,97.85678,0.7290774,4.647913
"6",182.9757,103.68178,0.7290774,4.647913
"7",186.7132,100.76928,0.7290774,4.647913
"8",186.7132,103.68178,0.7957024,4.647913
"9",190.4507,103.68178,0.8623274,4.940213
"10",190.4507,103.68178,0.7290774,4.867138
"11",182.9757,103.68178,0.7290774,3.592122
"12",190.4507,103.68178,0.7290774,4.647913
