"","EW","TW","EZ","SZ"
"1",239,145,2.8,3.1
"2",239,51,2.8,3.1
"3",239,145,2.8,3.1
"4",239,51,2.8,3.1
"5",239,145,2.8,3.1
"6",239,145,2.8,3.1
"7",239,54,2.8,3.1
"8",239,51,2.8,3.1
"9",239,145,2.8,3.1
"10",239,51,2.8,3.1
"11",239,54,2.8,3.1
"12",239,64,2.8,3.1
"13",239,64,2.7,3.1
"14",239,64,2.7,3.3
"15",234,146,2.8,3.1
"16",239,145,2.8,3.1
"17",239,144,2.8,3.3
"18",239,51,2.8,3.1
"19",239,145,2.7,3.1
"20",239,145,2.8,3.1
"21",239,51,2.8,3.1
"22",239,55,2.8,3.1
"23",237,145,2.8,3.4
"24",239,64,2.8,3.1
"25",237,51,2.7,3.1
"26",239,145,2.8,3.1
"27",239,51,2.8,3.1
"28",239,147,2.7,3.1
"29",239,145,2.8,4.6
"30",239,51,2.8,3.1
"31",239,139,2.8,3.1
"32",239,54,2.8,3.1
"33",239,51,2.8,3.1
"34",240,54,2.8,3.1
"35",239,54,2.8,3.1
"36",239,51,2.8,3.1
"37",239,145,2.8,3.1
"38",239,145,2.8,3.1
"39",239,51,2.8,3.1
"40",239,147,2.7,3.1
