"","EW","TW","EZ","SZ"
"1",187.0514,145.41145,0.8289542,3.107649
"2",187.0514,145.41145,0.8289542,3.107649
"3",187.0514,145.41145,0.8289542,3.326874
"4",187.0514,145.41145,0.8289542,3.107649
"5",187.0514,145.41145,0.8289542,3.107649
"6",187.0514,148.32395,0.8289542,3.107649
"7",187.0514,145.41145,0.7623292,3.399949
"8",187.0514,148.32395,0.7623292,3.107649
"9",190.7889,79.25136,0.6957042,3.253799
"10",187.0514,145.41145,0.8289542,3.107649
"11",187.0514,145.41145,0.7623292,3.107649
"12",187.0514,145.41145,0.8289542,3.473024
