"","EW","TW","EZ","SZ"
"1",183.6628,114.844,0.7301534,4.739749
"2",183.6628,139.7694,0.7301534,4.739749
"3",183.6628,114.844,0.7301534,4.739749
"4",187.4003,111.9315,0.6635284,4.812824
"5",183.6628,145.5944,0.7301534,4.739749
"6",183.6628,114.844,0.7301534,4.739749
"7",183.6628,145.5944,0.7301534,4.739749
"8",183.6628,139.7694,0.7301534,4.739749
"9",183.6628,139.7694,0.7301534,4.666674
"10",183.6628,114.844,0.7301534,4.739749
"11",183.6628,114.844,0.7301534,4.739749
"12",183.6628,114.844,0.7301534,4.739749
