"","EW","TW","EZ","SZ"
"1",208.3801,84.09578,1.257486,3.343237
"2",223.3301,95.74578,1.390736,3.343237
"3",208.3801,95.74578,1.257486,3.343237
"4",227.0676,87.00828,1.257486,3.416312
"5",208.3801,95.74578,1.257486,3.343237
"6",208.3801,84.09578,1.190861,3.343237
"7",219.5926,95.74578,1.390736,3.343237
"8",208.3801,95.74578,1.390736,3.343237
"9",208.3801,81.18328,1.324111,3.270162
"10",223.3301,98.65828,1.390736,3.343237
"11",223.3301,95.74578,1.324111,3.343237
"12",208.3801,84.09578,1.257486,3.343237
