"","EW","TW","EZ","SZ"
"1",178.4247,81.22698,0.8740661,3.261936
"2",178.4247,81.22698,0.8740661,3.261936
"3",178.4247,72.48948,0.8740661,3.261936
"4",178.4247,78.31448,0.8074411,3.261936
"5",178.4247,84.13948,0.8740661,3.261936
"6",178.4247,72.48948,0.8740661,3.408086
"7",178.4247,81.22698,0.8074411,3.261936
"8",174.6872,72.48948,0.8740661,3.261936
"9",178.4247,81.22698,0.8740661,3.261936
"10",178.4247,81.22698,0.8740661,3.335011
"11",178.4247,75.40198,0.9406911,3.115786
"12",178.4247,81.22698,0.8074411,3.408086
