"","EW","TW","EZ","SZ"
"1",191.4803,58.86817,0.906257,4.623432
"2",191.4803,58.86817,0.906257,4.258057
"3",191.4803,58.86817,0.906257,4.184982
"4",191.4803,58.86817,0.906257,4.258057
"5",191.4803,58.86817,0.972882,4.258057
"6",191.4803,58.86817,0.972882,4.184982
"7",191.4803,58.86817,0.906257,4.623432
"8",191.4803,58.86817,0.906257,4.331132
"9",195.2178,61.78067,0.906257,4.623432
"10",187.7428,58.86817,0.906257,4.331132
"11",191.4803,58.86817,0.839632,4.623432
"12",191.4803,58.86817,0.839632,4.258057
