"","EW","TW","EZ","SZ"
"1",182.3687,125.1163,2.350463,4.852938
"2",182.3687,125.1163,2.350463,4.852938
"3",182.3687,122.2038,2.350463,3.881898
"4",186.1062,130.9413,2.350463,4.852938
"5",182.3687,125.1163,2.417088,4.852938
"6",182.3687,130.9413,2.350463,4.852938
"7",182.3687,128.0288,2.350463,4.852938
"8",182.3687,116.3788,2.350463,4.852938
"9",182.3687,119.2913,2.350463,4.926013
"10",182.3687,119.2913,2.350463,4.852938
"11",182.3687,125.1163,2.350463,4.852938
"12",182.3687,119.2913,2.283838,4.852938
