"","EW","TW","EZ","SZ"
"1",195.4249,147.5854,0.798716,3.476434
"2",195.4249,147.5854,0.798716,3.476434
"3",195.4249,138.8479,0.798716,3.403359
"4",195.4249,144.6729,0.798716,3.476434
"5",191.6874,122.8119,0.798716,3.549509
"6",195.4249,138.8479,0.798716,3.476434
"7",191.6874,147.5854,0.798716,3.476434
"8",195.4249,147.5854,0.798716,3.476434
"9",195.4249,135.9354,0.798716,3.403359
"10",195.4249,138.8479,0.798716,3.403359
"11",195.4249,138.8479,0.798716,3.330284
"12",195.4249,135.9354,0.798716,3.403359
