"","EW","TW","EZ","SZ"
"1",188.5138,144.6604,0.8294335,3.419346
"2",195.9888,144.6604,0.8294335,3.346271
"3",181.0388,144.6604,0.8294335,3.565496
"4",192.2513,144.6604,0.8294335,3.638571
"5",188.5138,147.5729,0.8294335,3.346271
"6",192.2513,141.7479,0.8294335,3.492421
"7",181.0388,147.5729,0.8294335,3.565496
"8",181.0388,133.0104,0.8294335,3.638571
"9",181.0388,144.6604,0.8294335,3.565496
"10",181.0388,144.6604,0.8294335,3.419346
"11",195.9888,144.6604,0.8960585,3.346271
"12",195.9888,144.6604,0.8294335,3.565496
