"","EW","TW","EZ","SZ"
"1",191.252,144.23857,0.8573447,3.448733
"2",191.252,144.23857,0.8573447,3.448733
"3",191.252,144.23857,0.7907197,3.448733
"4",187.5145,61.51881,0.8573447,3.448733
"5",191.252,144.23857,0.8573447,3.375658
"6",191.252,144.23857,0.8573447,3.448733
"7",194.9895,144.23857,0.8573447,3.521808
"8",191.252,144.23857,0.8573447,3.448733
"9",191.252,144.23857,0.8573447,3.448733
"10",191.252,144.23857,0.8573447,3.448733
"11",194.9895,144.23857,0.9239697,3.448733
"12",191.252,144.23857,0.9239697,3.229508
