 [1,] 186.9377 149.77497 0.6985759 3.304319
 [2,] 186.9377 149.77497 0.6985759 3.304319
 [3,] 186.9377 149.77497 0.6985759 3.377394
 [4,] 186.9377 149.77497 0.6985759 3.450469
 [5,] 186.9377 149.77497 0.6985759 3.596619
 [6,] 186.9377 149.77497 0.6985759 3.231244
 [7,] 186.9377 149.77497 0.7652009 3.450469
 [8,] 186.9377 149.77497 0.6985759 3.450469
 [9,] 186.9377  74.98461 0.6319509 3.304319
[10,] 186.9377 149.77497 0.6985759 3.450469
[11,] 186.9377 149.77497 0.6985759 3.231244
[12,] 186.9377 149.77497 0.6985759 3.450469

2006,2013
          [,1]     [,2]      [,3]     [,4]
 [1,] 192.6667 141.4396 0.8776172 3.302867
 [2,] 192.6667 141.4396 0.8776172 3.375986
 [3,] 192.6667 141.4396 0.8776172 3.302867
 [4,] 192.6667 141.4396 0.8776172 3.375986
 [5,] 185.1917 141.4396 0.9442422 3.375986
 [6,] 188.9292 141.4396 0.8776172 3.229792
 [7,] 192.6667 138.5271 0.8776172 3.302911
 [8,] 188.9292 141.4396 0.8776172 3.229836
 [9,] 192.6667 141.4396 0.8776172 3.229792
[10,] 192.6667 144.3521 0.8776172 3.375986
[11,] 192.6667 135.6146 0.8776172 3.229792
[12,] 185.1917 141.4396 0.8776172 3.595167

2006,2012
          [,1]     [,2]     [,3]     [,4]
 [1,] 208.3801 84.09578 1.257486 3.343237
 [2,] 223.3301 95.74578 1.390736 3.343237
 [3,] 208.3801 95.74578 1.257486 3.343237
 [4,] 227.0676 87.00828 1.257486 3.416312
 [5,] 208.3801 95.74578 1.257486 3.343237
 [6,] 208.3801 84.09578 1.190861 3.343237
 [7,] 219.5926 95.74578 1.390736 3.343237
 [8,] 208.3801 95.74578 1.390736 3.343237
 [9,] 208.3801 81.18328 1.324111 3.270162
[10,] 223.3301 98.65828 1.390736 3.343237
[11,] 223.3301 95.74578 1.324111 3.343237
[12,] 208.3801 84.09578 1.257486 3.343237

2006,2011
          [,1]      [,2]      [,3]     [,4]
 [1,] 187.0514 145.41145 0.8289542 3.107649
 [2,] 187.0514 145.41145 0.8289542 3.107649
 [3,] 187.0514 145.41145 0.8289542 3.326874
 [4,] 187.0514 145.41145 0.8289542 3.107649
 [5,] 187.0514 145.41145 0.8289542 3.107649
 [6,] 187.0514 148.32395 0.8289542 3.107649
 [7,] 187.0514 145.41145 0.7623292 3.399949
 [8,] 187.0514 148.32395 0.7623292 3.107649
 [9,] 190.7889  79.25136 0.6957042 3.253799
[10,] 187.0514 145.41145 0.8289542 3.107649
[11,] 187.0514 145.41145 0.7623292 3.107649
[12,] 187.0514 145.41145 0.8289542 3.473024

2006,2010
          [,1]     [,2]      [,3]     [,4]
 [1,] 186.4752 144.8022 0.8707127 3.106041
 [2,] 186.4752 144.8022 0.8707127 3.106041
 [3,] 186.4752 144.8022 0.8707127 3.106041
 [4,] 186.4752 144.8022 0.8707127 3.106041
 [5,] 186.4752 144.8022 0.8707127 4.512304
 [6,] 186.4752 144.8022 0.8707127 3.325266
 [7,] 190.2127 144.8022 0.8707127 3.106041
 [8,] 186.4752 144.8022 0.8707127 3.632173
 [9,] 186.4752 141.8897 0.8707127 3.106041
