"","EW","TW","EZ","SZ"
"1",186.4752,144.8022,0.8707127,3.106041
"2",186.4752,144.8022,0.8707127,3.106041
"3",186.4752,144.8022,0.8707127,3.106041
"4",186.4752,144.8022,0.8707127,3.106041
"5",186.4752,144.8022,0.8707127,4.512304
"6",186.4752,144.8022,0.8707127,3.325266
"7",190.2127,144.8022,0.8707127,3.106041
"8",186.4752,144.8022,0.8707127,3.632173
"9",186.4752,141.8897,0.8707127,3.106041
"10",186.4752,141.8897,0.8707127,3.106041
"11",186.4752,144.8022,0.8707127,3.106041
"12",186.4752,144.8022,0.8707127,3.106041
