"","EW","TW","EZ","SZ"
"1",182,82,0.9,4.1
"2",182,82,0.9,4
"3",182,82,0.9,4.1
"4",182,82,0.9,4.1
"5",182,83,0.9,4.2
"6",179,82,0.8,3.9
"7",188,82,0.8,4.1
"8",188,82,0.8,3.1
"9",188,82,0.8,4.8
"10",177,81,0.9,4.1
"11",182,81,0.8,4.3
"12",182,82,0.9,3.9
"13",189,81,0.8,4.4
"14",180,82,0.8,4.3
"15",179,83,0.8,4
"16",188,82,0.8,4.4
"17",182,83,0.8,4.4
"18",180,82,0.8,4.1
"19",180,83,0.8,4.9
"20",180,81,0.8,4
"21",182,82,0.9,4
"22",182,83,0.9,4.1
"23",182,85,0.8,4.4
"24",177,82,0.8,3.9
"25",180,82,0.8,4.1
"26",188,81,0.8,4.1
"27",189,82,0.8,4.4
"28",186,82,0.8,4.1
"29",189,82,0.7,3.9
"30",182,82,0.9,4.4
