"","EW","TW","EZ","SZ"
"1",198.4828,117.3491,0.6470755,3.910717
"2",198.4828,113.845,0.5763228,3.910717
"3",194.7453,113.845,0.6470755,3.910717
"4",198.4828,102.7866,0.6470755,4.129942
"5",194.7453,113.845,0.5763228,3.910717
"6",198.4828,117.3491,0.5763228,3.910717
"7",198.4828,113.845,0.5763228,3.764567
"8",198.4828,113.845,0.6470755,3.837642
"9",202.2203,105.6991,0.6470755,3.910717
"10",198.4828,105.6991,0.6470755,3.910717
"11",198.4828,113.845,0.6470755,3.983792
"12",198.4828,113.845,0.5096978,3.910717
